# aper encyclopedia reference bank v1
# source: https://tilings.math.uni-bielefeld.de/substitution/
# attribution: D. Frettlöh, F. Gähler, E. Harriss: Tilings Encyclopedia
# licence: https://creativecommons.org/licenses/by-nc-sa/2.0/
# changes: whitespace normalised, records sorted by slug, aper ids added
# aper_system: - denotes a reference-only record
# source-last-modified: Fri, 17 Jul 2026 11:55:54 GMT
# source-etag: "68d81-656cd3d2ca8b1"
# records: 257
slug	title	url	tags	aper_system
self-tiling-tile-set-2	Self-Tiling Tile Set 2	https://tilings.math.uni-bielefeld.de/substitution/self-tiling-tile-set-2/		-
semi-detached-house	Semi-detached House	https://tilings.math.uni-bielefeld.de/substitution/semi-detached-house/	Finite Rotations|Polytopal Tiles|Self Similar Substitution	-
semi-detached-house-squared	Semi-detached House Squared	https://tilings.math.uni-bielefeld.de/substitution/semi-detached-house-squared/	Finite Rotations|Polytopal Tiles|Parallelogram Tiles|Rhomb Tiles|Self Similar Substitution	-
shield	Shield	https://tilings.math.uni-bielefeld.de/substitution/shield/	With Decoration|Finite Rotations|Euclidean Windowed Tiling|Polytopal Windowed Tiling|Polytopal Tiles|Mld Class Shield and Socolar|Matching Rules	-
single-bat	Single Bat	https://tilings.math.uni-bielefeld.de/substitution/single-bat/		-
smallest-pisot-dual	Smallest Pisot (dual)	https://tilings.math.uni-bielefeld.de/substitution/smallest-pisot-dual/	Finite Rotations|Euclidean Windowed Tiling|Polytopal Tiles|Polytopal Windowed Tiling|Canonical Substitution Tiling|Parallelogram Tiles|Plastic Number	-
smallest-pv	Smallest PV	https://tilings.math.uni-bielefeld.de/substitution/smallest-pv/	One Dimensional|Euclidean Windowed Tiling|Self Similar Substitution|Polytopal Tiles|Plastic Number	-
socolar	Socolar	https://tilings.math.uni-bielefeld.de/substitution/socolar/	Euclidean Windowed Tiling|Polytopal Windowed Tiling|Polytopal Tiles|Parallelogram Tiles|Canonical Substitution Tiling|Mld Class Shield and Socolar|Matching Rules	-
socolar-c5	Socolar-C5	https://tilings.math.uni-bielefeld.de/substitution/socolar-c5/		-
socolar12a2	Socolar 12-fold A	https://tilings.math.uni-bielefeld.de/substitution/socolar12a2/	Polytopal Tiles	-
socolar43	Socolar Square-Triangle	https://tilings.math.uni-bielefeld.de/substitution/socolar43/	Polytopal Tiles	-
socolars-7-fold	Socolar's 7-fold	https://tilings.math.uni-bielefeld.de/substitution/socolars-7-fold/	Finite Rotations|Polytopal Tiles	-
spectre	Spectre	https://tilings.math.uni-bielefeld.de/substitution/spectre/	Aperiodic Monotile	-
sphinx	Sphinx	https://tilings.math.uni-bielefeld.de/substitution/sphinx/	With Decoration|Finite Rotations|P Adic Windowed Tiling|Polytopal Tiles|Rep Tiles|Self Similar Substitution	-
sphinx-9	Sphinx-9	https://tilings.math.uni-bielefeld.de/substitution/sphinx-9/	Finite Rotations|P Adic Windowed Tiling|Polytopal Tiles|Rep Tiles|Self Similar Substitution	-
sqrt6-triangles	Sqrt6-triangles	https://tilings.math.uni-bielefeld.de/substitution/sqrt6-triangles/	Infinite Rotations|Finite Local Complexity|Polytopal Tiles|Self Similar Substitution	-
squar-chair	Square Chair	https://tilings.math.uni-bielefeld.de/substitution/squar-chair/	With Decoration|Finite Rotations|P Adic Windowed Tiling|Polytopal Tiles|Self Similar Substitution|Parallelogram Tiles|Rhomb Tiles|Mld Class Chair	-
square-multiscale	Square Multiscale	https://tilings.math.uni-bielefeld.de/substitution/square-multiscale/		-
square-triangle	Square-triangle	https://tilings.math.uni-bielefeld.de/substitution/square-triangle/		-
square-triangle-pinwheel-variant	Square Triangle Pinwheel Variant	https://tilings.math.uni-bielefeld.de/substitution/square-triangle-pinwheel-variant/		-
squeeze	Squeeze	https://tilings.math.uni-bielefeld.de/substitution/squeeze/	Self Similar Substitution|Polytopal Tiles|Plastic Number	-
squiral	Squiral	https://tilings.math.uni-bielefeld.de/substitution/squiral/	Finite Rotations|Rep Tiles	-
squiral-block	Squiral Block	https://tilings.math.uni-bielefeld.de/substitution/squiral-block/		-
stampflis-12-fold-1	Stampfli's 12-fold 1	https://tilings.math.uni-bielefeld.de/substitution/stampflis-12-fold-1/		stampfli
stampflis-12-fold-2	Stampfli's 12-fold 2	https://tilings.math.uni-bielefeld.de/substitution/stampflis-12-fold-2/		-
stampflis-12-fold-wo-squares	Stampfli's 12-fold without squares	https://tilings.math.uni-bielefeld.de/substitution/stampflis-12-fold-wo-squares/		-
stampflis-6-fold	Stampfli's 6-fold	https://tilings.math.uni-bielefeld.de/substitution/stampflis-6-fold/		-
starry-night	Starry Night	https://tilings.math.uni-bielefeld.de/substitution/starry-night/		-
sub-rosa	Sub Rosa n-fold	https://tilings.math.uni-bielefeld.de/substitution/sub-rosa/	Polytopal Tiles|Self Similar Substitution|Finite Local Complexity|Finite Rotations|Rhomb Tiles	-
t2000	T2000	https://tilings.math.uni-bielefeld.de/substitution/t2000/		-
tangram	Tangram	https://tilings.math.uni-bielefeld.de/substitution/tangram/	Finite Rotations|Polytopal Tiles|Self Similar Substitution	-
tetris	Tetris	https://tilings.math.uni-bielefeld.de/substitution/tetris/	Finite Rotations|Polytopal Tiles|Self Similar Substitution	-
tetris-faktor-2	Tetris Faktor 2	https://tilings.math.uni-bielefeld.de/substitution/tetris-faktor-2/		-
tetris-faktor-3	Tetris Faktor 3	https://tilings.math.uni-bielefeld.de/substitution/tetris-faktor-3/		-
thue-morse	Thue Morse	https://tilings.math.uni-bielefeld.de/substitution/thue-morse/	One Dimensional|Self Similar Substitution	-
thue-morse-2d	Thue Morse 2D	https://tilings.math.uni-bielefeld.de/substitution/thue-morse-2d/		thue-morse-2d
tiling-with-transcendental-inflation-multiplier	Tiling with Transcendental Inflation Multiplier	https://tilings.math.uni-bielefeld.de/substitution/tiling-with-transcendental-inflation-multiplier/	One Dimensional|Self Similar Substitution	-
tipi-3-1	Tipi-3-1	https://tilings.math.uni-bielefeld.de/substitution/tipi-3-1/	Infinite Rotations|Finite Local Complexity|Polytopal Tiles|Self Similar Substitution	-
trapez-z	Trapez Z	https://tilings.math.uni-bielefeld.de/substitution/trapez-z/		-
trapezotriangular	Trapezotriangular	https://tilings.math.uni-bielefeld.de/substitution/trapezotriangular/		-
treasure	Treasure	https://tilings.math.uni-bielefeld.de/substitution/treasure/		-
triangle-crown	Triangle Crown	https://tilings.math.uni-bielefeld.de/substitution/triangle-crown/		-
triangle-duo	Triangle Duo	https://tilings.math.uni-bielefeld.de/substitution/triangle-duo/	Infinite Rotations|Finite Local Complexity|Polytopal Tiles|Self Similar Substitution	-
triangle-duo-single-mirror	Triangle Duo (single mirror)	https://tilings.math.uni-bielefeld.de/substitution/triangle-duo-single-mirror/		-
triangle-duo-twin-mirror	Triangle Duo (twin mirror)	https://tilings.math.uni-bielefeld.de/substitution/triangle-duo-twin-mirror/		-
triangle-multiscale	Triangle Multiscale	https://tilings.math.uni-bielefeld.de/substitution/triangle-multiscale/		-
tribonacci	Tribonacci	https://tilings.math.uni-bielefeld.de/substitution/tribonacci/	Euclidean Windowed Tiling|One Dimensional|Polytopal Tiles|Self Similar Substitution	-
tribonacci-dual	Tribonacci Dual	https://tilings.math.uni-bielefeld.de/substitution/tribonacci-dual/	Finite Rotations|Euclidean Windowed Tiling|Polytopal Windowed Tiling|Canonical Substitution Tiling|Polytopal Tiles|Parallelogram Tiles|Self Similar Substitution	-
trihex	Trihex	https://tilings.math.uni-bielefeld.de/substitution/trihex/		-
tritriangle	Tritriangle	https://tilings.math.uni-bielefeld.de/substitution/tritriangle/	Finite Rotations|Polytopal Tiles|Self Similar Substitution	-
tromino1	Tromino 1	https://tilings.math.uni-bielefeld.de/substitution/tromino1/	Finite Rotations|Self Similar Substitution	-
tromino2	Tromino 2	https://tilings.math.uni-bielefeld.de/substitution/tromino2/	Finite Rotations|Self Similar Substitution	-
tuebingen-triangle	Tuebingen Triangle	https://tilings.math.uni-bielefeld.de/substitution/tuebingen-triangle/	Finite Rotations|Polytopal Windowed Tiling|Polytopal Tiles|Self Similar Substitution	-
uberpinwheel	Uberpinwheel	https://tilings.math.uni-bielefeld.de/substitution/uberpinwheel/	Finite Rotations|Polytopal Tiles|Self Similar Substitution	-
vampire	Vampire	https://tilings.math.uni-bielefeld.de/substitution/vampire/		-
vampire-deltoid	9-fold Vampire Deltoid	https://tilings.math.uni-bielefeld.de/substitution/vampire-deltoid/		-
viper	Viper	https://tilings.math.uni-bielefeld.de/substitution/viper/	Infinite Rotations|Polytopal Tiles|Rep Tiles|Self Similar Substitution	-
waltonchair	Waltonchair	https://tilings.math.uni-bielefeld.de/substitution/waltonchair/		-
wanderer-refl	Wanderer (reflections)	https://tilings.math.uni-bielefeld.de/substitution/wanderer-refl/	Limitperiodic|Polytopal Tiles|Rep Tiles|Self Similar Substitution	-
wanderer-rot	Wanderer (rotations)	https://tilings.math.uni-bielefeld.de/substitution/wanderer-rot/	Limitperiodic|Polytopal Tiles|Rep Tiles|Self Similar Substitution	-
watanabe-ito-soma-12-fold	Watanabe Ito Soma 12-fold	https://tilings.math.uni-bielefeld.de/substitution/watanabe-ito-soma-12-fold/	Finite Rotations|Polytopal Tiles|Self Similar Substitution|Finite Local Complexity	-
watanabe-ito-soma-12-fold-variant	Watanabe Ito Soma 12-fold (variant)	https://tilings.math.uni-bielefeld.de/substitution/watanabe-ito-soma-12-fold-variant/	Finite Rotations|Polytopal Tiles	-
watanabe-ito-soma-8-fold	Watanabe Ito Soma 8-fold	https://tilings.math.uni-bielefeld.de/substitution/watanabe-ito-soma-8-fold/	Finite Rotations|Model Set|Rhomb Tiles|Polytopal Tiles|Self Similar Substitution|Finite Local Complexity	-
westend	Westend	https://tilings.math.uni-bielefeld.de/substitution/westend/		-
wheel-tiling	Wheel Tiling	https://tilings.math.uni-bielefeld.de/substitution/wheel-tiling/	With Decoration|Finite Rotations|Euclidean Windowed Tiling|Polytopal Windowed Tiling|Polytopal Tiles|Mld Class Shield and Socolar	-
